Subtopic,QuestionNumber,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Difficulty
Basics of Changing Speech,1,"Fill in the blank: Direct: 'I have seen the movie,' he said. Indirect: He said that he _____ (see) the movie.",do,had seen,does,have,B,Use correct tense and form in narration.,4
Basics of Changing Speech,2,"Direct speech: She said, 'I am hungry.' What is the indirect speech?",She said she will be hungry.,She said she has been hungry.,She said she was hungry.,She said that she is hungry.,C,Change present tense to past tense in indirect speech.,8
Basics of Changing Speech,3,"Fill in the blank: Direct: 'We are playing,' they said. Indirect: They said they _____ (play).",will,done,were playing,doing,C,Use correct tense and form in narration.,5
Basics of Changing Speech,4,"Direct speech: She said, 'I am hungry.' What is the indirect speech?",She said she was hungry.,She said she has been hungry.,She said that she is hungry.,She said she will be hungry.,A,Change present tense to past tense in indirect speech.,4
Basics of Changing Speech,5,"Find the error and choose the correct sentence:
Direct: 'Do your homework,' he said. Indirect: He said me to do my homework.",Cannot say,"Direct: 'Do your homework,' he said. Indirect: He said me to do my homework.",No error,He told me to do my homework.,D,Correct narration tense and pronoun changes needed.,8
Basics of Changing Speech,6,"Fill in the blank: Direct: 'We are playing,' they said. Indirect: They said they _____ (play).",doing,were playing,has,did,B,Use correct tense and form in narration.,6
Basics of Changing Speech,7,"Fill in the blank: Convert to indirect speech: She said, 'I will help you.' -> She said that she _____ (help) me.",did,does,would help,done,C,Use correct tense and form in narration.,7
Basics of Changing Speech,8,"Find the error and choose the correct sentence:
Direct: 'I will come,' he said. Indirect: He said he will come.",He said he would come.,No error,"Direct: 'I will come,' he said. Indirect: He said he will come.",Cannot say,A,Correct narration tense and pronoun changes needed.,3
Basics of Changing Speech,9,"Find the error and choose the correct sentence:
Direct: He said, 'I can swim.' Indirect: He said he can swim.",He said he could swim.,"Direct: He said, 'I can swim.' Indirect: He said he can swim.",No error,Cannot say,A,Correct narration tense and pronoun changes needed.,6
Passage Narration,159,"Fill in the blank: Narrate: She said, 'I _____ (have) finished my work.'",will,had,done,did,B,Use correct tense and form in narration.,10
Passage Narration,160,"Find the error and choose the correct sentence:
Narrate: They said, 'We are going.' Narration: They said we were going.",Cannot say,They said they were going.,"Narrate: They said, 'We are going.' Narration: They said we were going.",No error,B,Correct narration tense and pronoun changes needed.,9
Passage Narration,161,"In narration, 'I am coming' becomes?",He said he is coming,He says he was coming,He said he was coming,He said I am coming,C,Present continuous changes to past continuous.,8
Passage Narration,162,"Fill in the blank: Narrate: She said, 'I _____ (write) a letter.'",do,was writing,does,have,B,Use correct tense and form in narration.,8
Passage Narration,163,"Find the error and choose the correct sentence:
Narrate: He said, 'I am hungry.' Narration: He said he is hungry.",Cannot say,No error,He said he was hungry.,"Narrate: He said, 'I am hungry.' Narration: He said he is hungry.",C,Correct narration tense and pronoun changes needed.,10
Passage Narration,164,"In passage narration, if the passage is in past tense, narration should be in?",Past tense,Future tense,Present tense,Any tense,A,Maintain tense consistency with passage.,3
Passage Narration,165,What is the first step in passage narration?,Memorizing the passage,Reading the passage carefully,Writing the passage,Ignoring difficult words,B,Understanding the passage is essential before narration.,9
Passage Narration,166,"Find the error and choose the correct sentence:
Narrate: He said, 'I am hungry.' Narration: He said he is hungry.",Cannot say,"Narrate: He said, 'I am hungry.' Narration: He said he is hungry.",He said he was hungry.,No error,C,Correct narration tense and pronoun changes needed.,5
Passage Narration,167,What is the first step in passage narration?,Writing the passage,Memorizing the passage,Ignoring difficult words,Reading the passage carefully,D,Understanding the passage is essential before narration.,10
Passage Narration,168,"Find the error and choose the correct sentence:
Narrate: He said, 'I can help.' Narration: He said he can help.","Narrate: He said, 'I can help.' Narration: He said he can help.",Cannot say,He said he could help.,No error,C,Correct narration tense and pronoun changes needed.,7
Passage Narration,169,"In narration, 'I am coming' becomes?",He said I am coming,He said he was coming,He said he is coming,He says he was coming,B,Present continuous changes to past continuous.,4
Introductory 'It',7,Identify the part of speech of 'It' in the sentence: 'It is cold today.',Pronoun,Adverb,Conjunction,Noun,A,'It' is a pronoun used as a dummy subject.,5
Introductory 'It',8,Identify the part of speech of 'It' in the sentence: 'It is cold today.',Pronoun,Adverb,Conjunction,Noun,A,'It' is a pronoun used as a dummy subject.,7
Introductory 'It',9,Transform: 'To finish this project is difficult.' → Begin with 'It'.,It is difficult to finish this project.,It to finish this project is difficult.,It is to finish this project difficult.,It finish this project is difficult.,A,Correct transformation uses 'It is difficult to...',1
Introductory 'It',10,There is difficult to learn Chinese. Identify the error.,There,is,difficult,learn,A,The sentence should begin with 'It' to introduce an adjective phrase.,9
Introductory 'It',11,Transform: 'To finish this project is difficult.' → Begin with 'It'.,It is difficult to finish this project.,It to finish this project is difficult.,It is to finish this project difficult.,It finish this project is difficult.,A,Correct transformation uses 'It is difficult to...',2
Introductory 'It',12,It ___ time to leave now.,is,are,was,be,A,Present simple tense is appropriate here: 'It is time to leave.',10
Introductory 'It',13,There is difficult to learn Chinese. Identify the error.,There,is,difficult,learn,A,The sentence should begin with 'It' to introduce an adjective phrase.,7
Introductory 'It',14,Transform: 'To finish this project is difficult.' → Begin with 'It'.,It is difficult to finish this project.,It to finish this project is difficult.,It is to finish this project difficult.,It finish this project is difficult.,A,Correct transformation uses 'It is difficult to...',9
Introductory 'It',15,___ is important to be honest.,It,There,That,This,A,'It' is used to introduce statements about general truths.,6
Introductory 'It',16,___ is important to be honest.,It,There,That,This,A,'It' is used to introduce statements about general truths.,2
Introductory 'There',126,There ___ a lot of people at the party last night.,was,were,is,are,B,'There were' is used with plural nouns in past tense.,3
Introductory 'There',127,___ is a new shop at the corner.,There,It,That,This,A,Use 'There' to introduce the existence of something.,3
Introductory 'There',128,Identify the part of speech of 'There' in the sentence: 'There is a dog outside.',Pronoun,Adverb,Noun,Conjunction,B,"In this sentence, 'There' functions as an introductory adverb.",4
Introductory 'There',129,There is many cars on the road. Identify the error.,There,is,many,cars,C,"'Many' should be followed by 'are', not 'is'.",10
Introductory 'There',130,Transform: 'A cat is on the roof.' → Begin with 'There'.,There is a cat on the roof.,There a cat is on the roof.,There the cat is on the roof.,There on the roof is a cat.,A,Correct transformation uses 'There is' to introduce the subject.,1
Introductory 'There',131,___ is a new shop at the corner.,There,It,That,This,A,Use 'There' to introduce the existence of something.,7
Introductory 'There',132,Which sentence uses 'there' correctly?,There is a book on the table.,It is a book on the table.,That is a book on the table.,This book is on the there.,A,'There' is correctly used to indicate the existence of something.,9
Introductory 'There',133,There is many cars on the road. Identify the error.,There,is,many,cars,C,"'Many' should be followed by 'are', not 'is'.",8
Introductory 'There',134,___ is a new shop at the corner.,There,It,That,This,A,Use 'There' to introduce the existence of something.,4
Introductory 'There',135,There ___ a lot of people at the party last night.,was,were,is,are,B,'There were' is used with plural nouns in past tense.,10
First Conditional,1,"If we _____ (not/take) a taxi, we will be late.",not take,did not take,do not take,will not take,C,Present simple + will + base verb,3
First Conditional,2,"Fill in the blank: If you _____ (study) hard, you will pass the exam.",was,had,study,be,C,Use present simple tense in the if-clause and will + base verb in main clause.,10
First Conditional,3,"Find the error and choose the correct sentence:
If it rains, we will went to the park.",No error,"If it rains, we will go to the park.","If it rains, we will went to the park.",Cannot say,B,"The if-clause should use present simple, not will + verb.",2
First Conditional,4,Fill in the blank: We will go to the beach if it _____ (be) sunny.,did,been,is,has,C,Use present simple tense in the if-clause and will + base verb in main clause.,4
First Conditional,5,"If she _____ (not/hurry), she will miss the bus.",did not hurry,does not hurry,not hurry,will not hurry,B,Present simple + will + base verb,8
First Conditional,6,They will be happy if you _____ (come) to the party.,will come,came,come,coming,C,Present simple + will + base verb,2
First Conditional,7,"Fill in the blank: If you _____ (study) hard, you will pass the exam.",study,had,will,be,A,Use present simple tense in the if-clause and will + base verb in main clause.,9
First Conditional,8,Fill in the blank: We will go to the beach if it _____ (be) sunny.,is,was,has,will,A,Use present simple tense in the if-clause and will + base verb in main clause.,1
First Conditional,9,"Find the error and choose the correct sentence:
If they will not come, the meeting will cancel.",Cannot say,No error,"If they do not come, the meeting will be cancelled.","If they will not come, the meeting will cancel.",C,"The if-clause should use present simple, not will + verb.",1
First Conditional,10,"Find the error and choose the correct sentence:
If you will be late, we will start.","If you will be late, we will start.",Cannot say,No error,"If you are late, we will start.",D,"The if-clause should use present simple, not will + verb.",7
Second Conditional,126,She would travel more if she _____ (have) time.,has,will have,would have,had,D,Use past simple in the if-clause.,9
Second Conditional,127,"If I _____ (be) rich, I would buy a house.",were,am,will be,was,A,Use 'were' for hypothetical situations in second conditional.,1
Second Conditional,128,"Fill in the blank: If we _____ (live) closer, we would visit more often.",lived,have,will,had,A,Use past simple in if-clause and would + base verb in main clause.,4
Second Conditional,129,"Fill in the blank: If we _____ (live) closer, we would visit more often.",had,lived,has,have,B,Use past simple in if-clause and would + base verb in main clause.,6
Second Conditional,130,"Fill in the blank: If we _____ (live) closer, we would visit more often.",have,lived,won't,had,B,Use past simple in if-clause and would + base verb in main clause.,3
Second Conditional,131,Fill in the blank: He would buy a car if he _____ (have) enough money.,won't,have,had,has,C,Use past simple in if-clause and would + base verb in main clause.,10
Second Conditional,132,"Fill in the blank: If they _____ (know) about the party, they would come.",knew,win,won't,had,A,Use past simple in if-clause and would + base verb in main clause.,6
Second Conditional,133,"Find the error and choose the correct sentence:
If I was rich, I would travel the world.",Cannot say,"If I was rich, I would travel the world.","If I were rich, I would travel the world.",No error,C,Use 'were' for hypothetical condition and past simple in if-clause.,2
Second Conditional,134,"Fill in the blank: If they _____ (know) about the party, they would come.",knew,would,has,won't,A,Use past simple in if-clause and would + base verb in main clause.,6
Second Conditional,135,"If you _____ (be) taller, you would be a basketball player.",are,were,will be,was,B,Use 'were' instead of 'was' for hypothetical condition.,5
Present Simple and Continuous Passive ,1,The room ___ every morning.,is cleaned,is being cleaned,cleans,cleaned,A,"The sentence indicates a regular action, so Present Simple Passive 'is cleaned' is correct.",1
Present Simple and Continuous Passive ,15,Choose the correct form: The dress ___ every season.,is designed,is being designed,designs,designing,A,"The sentence indicates a regular action, so Present Simple Passive 'is designed' is correct.",3
Present Simple and Continuous Passive ,31,The park ___ right now.,is being cleaned,is cleaned,cleans,cleaning,A,"'Right now' indicates an ongoing action, so Present Continuous Passive 'is being cleaned' is correct.",5
Present Simple and Continuous Passive ,46,Correct the error: The car is being fixed every week.,The car fixed every week.,The car is fixed every week.,The car are fixed every week.,The car is fixed every week.,C,"The original sentence uses Continuous Passive, which doesn't fit a regular action; the correct form is Present Simple Passive 'is fixed.'",7
Present Simple and Continuous Passive ,58,Correct the error: The house is being painted every summer.,The house are painted every summer.,The house is painted every summer.,The house paints every summer.,The house is painted every summer.,C,"The original sentence uses Continuous Passive, which doesn't fit a regular action; the correct form is Present Simple Passive 'is painted.'",9
Past Simple and Continuous Passive,83,The meal ___ last night.,was prepared,was being prepared,prepares,preparing,A,"The sentence indicates a completed action in the past, so Past Simple Passive 'was prepared' is correct.",2
Past Simple and Continuous Passive,97,Fill in the blank: The meal ___ last night.,was prepared,was being prepared,prepares,preparing,A,"The sentence indicates a completed action in the past, so Past Simple Passive 'was prepared' is correct.",4
Past Simple and Continuous Passive,112,Correct the error: The house was being cleaned at 5 PM yesterday.,The house cleaned at 5 PM yesterday.,The house was cleaning at 5 PM yesterday.,The house were being cleaned at 5 PM yesterday.,The house was being cleaned at 5 PM yesterday.,D,"The original sentence is correct, using Past Continuous Passive 'was being cleaned' for an ongoing action.",6
Past Simple and Continuous Passive,127,The emails ___ during the outage. (were sent/were being sent),were sent,were being sent,send,sending,B,"'During the outage' indicates an ongoing action in the past, so Past Continuous Passive 'were being sent' is correct.",8
Past Simple and Continuous Passive,142,The emails ___ during the outage. (were sent/were being sent),were sent,were being sent,send,sending,B,"'During the outage' indicates an ongoing action in the past, so Past Continuous Passive 'were being sent' is correct.",10
Present Perfect and Modal Passive,153,The windows ___ just now.,have been opened,has been opened,were opened,open,A,The present perfect passive 'have been opened' is correct for a just completed action.,1
Present Perfect and Modal Passive,157,The homework ___ by the students.,should be done,should done,has done,was do,A,The simple modal passive 'should be done' is correct for a recommended action.,3
Present Perfect and Modal Passive,169,Choose the correct form: The room ___ this week.,has been painted,has painted,was painted,paints,A,The present perfect passive 'has been painted' is correct for an action completed this week.,5
Present Perfect and Modal Passive,174,Fill in the blank: The task ___ by the team.,must be completed,must completed,has completed,was complete,B,The simple modal passive 'must be completed' is correct for a required action.,7
Present Perfect and Modal Passive,185,Correct the error: The garden might be watered by now.,The garden might watered by now.,The garden has watered by now.,The garden was water by now.,The garden might be watered by now.,D,"The original sentence is correct, using Simple Modal Passive 'might be watered' for a possible action.",9
Passive Sentence Transformation,248,Fill in the blank: The match ___ by the team. (The team will win),will be won,will won,is won,was won,B,The active sentence in Future Simple 'The team will win the match' transforms to Future Simple Passive 'The match will be won by the team.',10
Passive Sentence Transformation,236,Correct the error: The assignment has been completed by them.,The assignment was completed by them.,The assignment is completed by them.,The assignment completed by them.,The assignment has been completed by them.,D,"The original sentence is correct, as the active form 'They have completed the assignment' transforms to Present Perfect Passive 'The assignment has been completed by them.'",8
Passive Sentence Transformation,234,Correct the error: The bridge was being built by them.,The bridge is being built by them.,The bridge was built by them.,The bridge has been built by them.,The bridge was being built by them.,D,"The original sentence is correct, as the active form 'They were building the bridge' transforms to Past Continuous Passive 'The bridge was being built by them.'",6
Passive Sentence Transformation,232,Correct the error: The room will be cleaned by us.,The room will cleaned by us.,The room is cleaned by us.,The room was cleaned by us.,The room will be cleaned by us.,D,"The original sentence is correct, as the active form 'We will clean the room' transforms to Future Simple Passive 'The room will be cleaned by us.'",4
Passive Sentence Transformation,230,Correct the error: The house was painted by them.,The house is painted by them.,The house painted by them.,The house was being painted by them.,The house was painted by them.,D,"The original sentence is correct, as the active form 'They painted the house' transforms to Past Simple Passive 'The house was painted by them.'",2
Exponents,1,২⁴ \times ২³ সরলীকরণ করুন।,২¹,২⁷,২⁶,২¹,B,"a^m \times a^n = a^(m+n) ব্যবহার করে, ২⁴ \times ২³ = ২^(৪+৩) = ২⁷।",2
Logarithms,2,\(\log_{১০} ১০০\) কী?,১,২,৩,১০,B,"যেহেতু ১০² = ১০০, তাই \(\log_{১০} ১০০ = ২\)।",7
Logarithmic Methods,3,৪৫০০ কে বৈজ্ঞানিক সংখ্যাপ্রকাশে প্রকাশ করুন।,৪.৫ \times ১০³,৪৫ \times ১০²,০.৪৫ \times ১০⁴,৪.৫ \times ১০²,A,"৪৫০০ = ৪.৫ \times ১০০০ = ৪.৫ \times ১০³, যেখানে ১ \leq ৪.৫ < ১০।",1
Exponents,4,(৩²)³ কী?,৩⁵,৩⁶,৩⁸,৩⁹,B,"(a^m)^n = a^(m \times n) ব্যবহার করে, (৩²)³ = ৩^(২ \times ৩) = ৩⁶।",9
Logarithms,5,"যদি \(\log_{৪} x = ২\) হয়, তবে x কী?",১৬,৮,৪,৩২,A,"\(\log_{৪} x = ২\) মানে ৪² = x, তাই x = ১৬।",4
Logarithmic Methods,6,\(\log_{১০} ০.০০৭৮\) এর মান কী?,−৩,০,১,−২,A,"০.০০৭৮ = ৭.৮ \times ১০⁻³ (২টি শূন্য), মান = -(২+১) = −৩।",6
Exponents,7,(\frac{৫}{২})² সরলীকরণ করুন।,২৫/৪,৫/৪,১০/২,২/৫,A,"(\frac{a}{b})^n = \frac{a^n}{b^n} ব্যবহার করে, (\frac{৫}{২})² = \frac{৫²}{২²} = \frac{২৫}{৪}।",3
Logarithms,8,\(\log_{২} (\frac{১}{১৬})\) কী?,৪,−৪,−২,২,B,"যেহেতু \frac{১}{১৬} = ২⁻⁴, তাই \(\log_{২} (\frac{১}{১৬}) = −৪\)।",8
Logarithmic Methods,9,০.০০০৫৬ কে বৈজ্ঞানিক সংখ্যাপ্রকাশে প্রকাশ করুন।,৫.৬ \times ১০⁻⁴,০.৫৬ \times ১০⁻³,৫.৬ \times ১০⁻³,০.০৫৬ \times ১০⁻⁴,A,"০.০০০৫৬ = ৫.৬ \times ১০⁻⁴, যেখানে ১ \leq ৫.৬ < ১০।",5
Exponents,10,a \neq ০ হলে a⁰ কী?,০,a,১,অসংজ্ঞায়িত,C,"সংজ্ঞা অনুসারে, a⁰ = ১ যখন a \neq ০।",1
Logarithms,11,\(\log_{৩} ২৭\) সরলীকরণ করুন।,২,৩,৪,১,B,"যেহেতু ৩³ = ২৭, তাই \(\log_{৩} ২৭ = ৩\)।",3
Logarithmic Methods,12,\(\log_{১০} ৫৬৭৮\) এর মান কী?,২,৩,৪,১,B,"৫৬৭৮ = ৫.৬৭৮ \times ১০³, মান = ৪-১ = ৩।",10
Exponents,13,"৬	⁻² সরলীকরণ করুন।",১/৩৬,৩৬,১/৬,৬²,A,"a^(-n) = \frac{১}{a^n} ব্যবহার করে, ৬⁻² = \frac{১}{৬²} = \frac{১}{৩৬}।",6
Logarithms,14,\(\log_{১০} ১\) কী?,০,১,১০,অসংজ্ঞায়িত,A,"নিয়ম অনুসারে, \(\log_{a} ১ = ০\) যখন a > ০, a \neq ১।",2
Logarithmic Methods,15,২৩.৪৫৬ কে বৈজ্ঞানিক সংখ্যাপ্রকাশে প্রকাশ করুন।,২.৩৪৫৬ \times ১০¹,২৩.৪৫৬ \times ১০⁰,০.২৩৪৫৬ \times ১০²,২.৩৪৫৬ \times ১০⁰,A,"২৩.৪৫৬ = ২.৩৪৫৬ \times ১০¹, যেখানে ১ \leq ২.৩৪৫৬ < ১০।",4
Exponents,16,(৩ \times ২)² কী?,৩³ \times ২³,১৮²,৩৬,৩² \times ২²,D,"(ab)^n = a^n \times b^n ব্যবহার করে, (৩ \times ২)² = ৩² \times ২²।",8
Logarithms,17,"যদি \(\log_{x} ৯ = ২\) হয়, তবে x কী?",৯,৩,৬,২৭,B,"\(\log_{x} ৯ = ২\) মানে x² = ৯, তাই x = ৩ (x > ০)।",5
Logarithmic Methods,18,\(\log_{১০} ০.০০০৩৪\) এর মান কী?,০,−৪,−৩,−৫,B,"০.০০০৩৪ = ৩.৪ \times ১০⁻⁴ (৩টি শূন্য), মান = -(৩+১) = −৪।",7
Exponents,19,(৪³) / (৪²) সরলীকরণ করুন।,৪⁵,১/৪³,৪¹,৪²,C,"a^m / a^n = a^(m-n) ব্যবহার করে, ৪³ / ৪² = ৪^(৩-২) = ৪¹।",3
Logarithms,20,\(\log_{৫} (\sqrt{৫})\) কী?,১/২,১,২,১/৩,A,"যেহেতু \(\sqrt{৫} = ৫^(১/২)\), তাই \(\log_{৫} (\sqrt{৫}) = ১/২\)।",9
Logarithmic Methods,21,০.০১২৩ কে বৈজ্ঞানিক সংখ্যাপ্রকাশে প্রকাশ করুন।,১.২৩ \times ১০⁻²,০.১২৩ \times ১০⁻¹,১.২৩ \times ১০⁻¹,"০.০১২৩ \times ১০	⁻²",A,"০.০১২৩ = ১.২৩ \times ১০⁻², যেখানে ১ \leq ১.২৩ < ১০।",2
Exponents,22,(২² \times ৩³)² সরলীকরণ করুন।,৪² \times ৯³,৩৬,২⁴ \times ৩⁶,২² \times ৩³,C,(২² \times ৩³)² = (২²)² \times (৩³)² = ২⁴ \times ৩⁶।,7
Logarithms,23,\(\log_{৪} ১৬\) কী?,১,২,৩,৪,B,"যেহেতু ৪² = ১৬, তাই \(\log_{৪} ১৬ = ২\)।",4
Logarithmic Methods,24,\(\log_{১০} ৬৭.৮৯\) এর মান কী?,০,২,১,৩,C,"৬৭.৮৯ = ৬.৭৮৯ \times ১০¹, মান = ২-১ = ১।",6
Exponents,25,৮^(১/৩) সরলীকরণ করুন।,২,৮,৪,১/২,A,৮^(১/৩) = \sqrt[৩]{৮} = ২।,5
Logarithms,26,\(\log_{১০} (\frac{১০০০}{১০})\) সরলীকরণ করুন।,৩,০,১,২,D,\(\log_{১০} (\frac{১০০০}{১০}) = \log_{১০} ১০০০ - \log_{১০} ১০ = ৩ - ১ = ২\)।,10
Logarithmic Methods,27,৯৮৭৬৫৪ কে বৈজ্ঞানিক সংখ্যাপ্রকাশে প্রকাশ করুন।,৯.৮৭৬৫৪ \times ১০⁵,৯৮.৭৬৫৪ \times ১০⁴,০.৯৮৭৬৫৪ \times ১০⁶,৯.৮৭৬৫৪ \times ১০⁴,A,"৯৮৭৬৫৪ = ৯.৮৭৬৫৪ \times ১০⁵, যেখানে ১ \leq ৯.৮৭৬৫৪ < ১০।",8
Exponents,28,(৫⁻¹)² কী?,৫,২৫,১/২৫,১/৫,C,(৫⁻¹)² = ৫^(-১ \times ২) = ৫⁻² = \frac{১}{৫²} = \frac{১}{২৫}।,2
Logarithms,29,"যদি \(\log_{২} x = -৩\) হয়, তবে x কী?",৮,১/২,১/৮,২,C,"\(\log_{২} x = -৩\) মানে ২⁻³ = x, তাই x = \frac{১}{২³} = \frac{১}{৮}।",1
Logarithmic Methods,30,\(\log_{১০} ০.০০০০০৮৯\) এর মান কী?,০,−৬,−৫,−৭,B,"০.০০০০০৮৯ = ৮.৯ \times ১০⁻⁶ (৫টি শূন্য), মান = -(৫+১) = −৬।",3
Exponents,31,(২⁴ / ২²) সরলীকরণ করুন।,২²,২⁶,১/২⁴,২¹,A,২⁴ / ২² = ২^(৪-২) = ২² = ৪।,4
Logarithms,32,\(\log_{৩} (৯ \times ৩)\) সরলীকরণ করুন।,২,৩,৪,১,B,\(\log_{৩} (৯ \times ৩) = \log_{৩} ৯ + \log_{৩} ৩ = ২ + ১ = ৩\)।,6
Logarithmic Methods,33,০.০০০০০১২৩ কে বৈজ্ঞানিক সংখ্যাপ্রকাশে প্রকাশ করুন।,১.২৩ \times ১০⁻⁶,০.১২৩ \times ১০⁻⁵,১.২৩ \times ১০⁻⁵,০.০১২৩ \times ১০⁻⁶,A,"০.০০০০১২৩ = ১.২৩ \times ১০⁻⁶, যেখানে ১ \leq ১.২৩ < ১০।",9
Exponents,34,(২³ \times ৪²) / (২² \times ৪¹) সরলীকরণ করুন।,২¹ \times ৪¹,২³ \times ৪²,৮,৩২,A,(২³ \times ৪²) / (২² \times ৪¹) = ২^(৩-২) \times ৪^(২-১) = ২¹ \times ৪¹।,1
Logarithms,35,২ \times \(\log_{১০} ১০\) সরলীকরণ করুন।,০,১,২,১০,C,"২ \times \(\log_{১০} ১০ = ২ \times ১ = ২\), যেহেতু \(\log_{১০} ১০ = ১\)।",5
Logarithmic Methods,36,\(\log_{১০} ১২৩.৪৫\) এর মান কী?,০,১,২,৩,C,"১২৩.৪৫ = ১.২৩৪৫ \times ১০², মান = ৩-১ = ২।",7
Exponents,37,"(২	⁻²)³ কী?",২⁻⁶,২⁶,"২	⁻²",২^(-৮),A,(২⁻²)³ = ২^(-২ \times ৩) = ২⁻⁶।,10
Logarithms,38,"যদি \(\log_{x} ৮১ = ৪\) হয়, তবে x কী?",৯,৩,২৭,৪,B,"\(\log_{x} ৮১ = ৪\) মানে x⁴ = ৮১, তাই x = ৩ (৮১ = ৩⁴)।",3
Logarithmic Methods,39,৭৮৯০০০০ কে বৈজ্ঞানিক সংখ্যাপ্রকাশে প্রকাশ করুন।,৭.৮৯ \times ১০⁶,৭৮.৯ \times ১০⁵,০.৭৮৯ \times ১০⁷,৭.৮৯ \times ১০⁵,A,"৭৮৯০০০০ = ৭.৮৯ \times ১০⁶, যেখানে ১ \leq ৭.৮৯ < ১০।",2
Exponents,40,৯^(১/২) সরলীকরণ করুন।,৩,৯,৬,১/৩,A,৯^(১/২) = \sqrt{৯} = ৩।,8
Logarithms,41,\(\log_{১০} (১০⁴)\) সরলীকরণ করুন।,৩,৪,৫,২,B,\(\log_{১০} (১০⁴) = ৪ \times \log_{১০} ১০ = ৪ \times ১ = ৪\)।,7
Logarithmic Methods,42,\(\log_{১০} ০.০৫৬\) এর মান কী?,০,১,−২,−১,C,"০.০৫৬ = ৫.৬ \times ১০⁻² (১টি শূন্য), মান = -(১+১) = −২।",4
Exponents,43,(৪² \times ৪⁻¹) সরলীকরণ করুন।,৪¹,৪³,১/৪²,৪²,A,৪² \times ৪⁻¹ = ৪^(২-১) = ৪¹ = ৪।,9
Logarithms,44,\(\log_{২} (\frac{৩২}{৮})\) সরলীকরণ করুন।,২,৩,৪,১,A,\(\log_{২} (\frac{৩২}{৮}) = \log_{২} ৩২ - \log_{২} ৮ = ৫ - ৩ = ২\)।,1
Logarithmic Methods,45,০.০০০০৬৭ কে বৈজ্ঞানিক সংখ্যাপ্রকাশে প্রকাশ করুন।,৬.৭ \times ১০⁻⁵,০.৬৭ \times ১০⁻⁴,৬.৭ \times ১০⁻⁴,০.০৬৭ \times ১০⁻⁵,A,"০.০০০০৬৭ = ৬.৭ \times ১০⁻⁵, যেখানে ১ \leq ৬.৭ < ১০।",3
Exponents,46,(৩⁻¹ \times ৩²) কী?,৩³,১/৩²,৩¹,৩²,C,৩⁻¹ \times ৩² = ৩^(-১+২) = ৩¹ = ৩।,2
Logarithms,47,"যদি \(\log_{১০} x = -১\) হয়, তবে x কী?",০.০১,১,০.১,১০,C,"\(\log_{১০} x = -১\) মানে ১০⁻¹ = x, তাই x = ০.১।",7
Logarithmic Methods,48,\(\log_{১০} ২৩৪.৫৬৭\) এর মান কী?,১,২,৩,০,B,"২৩৪.৫৬৭ = ২.৩৪৫৬৭ \times ১০², মান = ৩-১ = ২।",5
Exponents,49,(৫⁴ / ৫⁶) সরলীকরণ করুন।,৫²,১/৫²,৫¹০,"৫	⁻²",D,৫⁴ / ৫⁶ = ৫^(৪-৬) = ৫⁻² = \frac{১}{৫²}।,8
Logarithms,50,\(\log_{৩} (৮১²)\) কী?,৮,৩,৪,৬,A,\(\log_{৩} (৮১²) = ২ \times \log_{৩} ৮১ = ২ \times ৪ = ৮\)।,4
Logarithmic Methods,51,১২৩৪৫৬৭ কে বৈজ্ঞানিক সংখ্যাপ্রকাশে প্রকাশ করুন।,১.২৩৪৫৬৭ \times ১০⁶,১২.৩৪৫৬৭ \times ১০⁵,০.১২৩৪৫৬৭ \times ১০⁷,১.২৩৪৫৬৭ \times ১০⁵,A,"১২৩৪৫৬৭ = ১.২৩৪৫৬৭ \times ১০⁶, যেখানে ১ \leq ১.২৩৪৫৬৭ < ১০।",1
Exponents,52,(২²)^(৩/২) সরলীকরণ করুন।,৮,৪,১৬,২,A,(২²)^(৩/২) = ২^(২ \times \frac{৩}{২}) = ২³ = ৮।,6
Logarithms,53,\(\log_{৫} (২৫ \times ৫)\) সরলীকরণ করুন।,৩,২,৪,১,A,\(\log_{৫} (২৫ \times ৫) = \log_{৫} ২৫ + \log_{৫} ৫ = ২ + ১ = ৩\)।,9
Logarithmic Methods,54,\(\log_{১০} ০.০০০০০৭৮\) এর মান কী?,০,−৭,−৬,−৮,B,"০.০০০০০৭৮ = ৭.৮ \times ১০⁻⁷ (৬টি শূন্য), মান = -(৬+১) = −৭।",2
Exponents,55,"(৪	⁻²)² কী?",৪⁴,৪⁻⁴,৪²,"৪	⁻²",B,(৪⁻²)² = ৪^(-২ \times ২) = ৪⁻⁴ = \frac{১}{৪⁴}।,3
Logarithms,56,"যদি \(\log_{x} ১৬ = ৪\) হয়, তবে x কী?",৪,১৬,২,৮,C,"\(\log_{x} ১৬ = ৪\) মানে x⁴ = ১৬, তাই x = ২ (১৬ = ২⁴)।",10
Logarithmic Methods,57,০.০০০৪৫ কে বৈজ্ঞানিক সংখ্যাপ্রকাশে প্রকাশ করুন।,৪.৫ \times ১০⁻⁴,০.৪৫ \times ১০⁻³,৪.৫ \times ১০⁻³,০.০৪৫ \times ১০⁻⁴,A,"০.০০৪৫ = ৪.৫ \times ১০⁻⁴, যেখানে ১ \leq ৪.৫ < ১০।",7
Exponents,58,(৩⁵ \times ৩⁻³) সরলীকরণ করুন।,৩²,৩⁸,১/৩⁵,৩¹,A,৩⁵ \times ৩⁻³ = ৩^(৫-৩) = ৩² = ৯।,4
