Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,,
অসীম দশমিক ভগ্নাংশ,256,√19 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,4.35,4.36,4.34,4.37,A,"√19 ≈ 4.358, তাই ২ দশমিক পর্যন্ত আসন্ন মান 4.35।",3,,
অসীম দশমিক ভগ্নাংশ,257,√20 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,4.47,4.46,4.45,4.48,A,"√20 ≈ 4.472, তাই ২ দশমিক পর্যন্ত আসন্ন মান 4.47।",3,,
অসীম দশমিক ভগ্নাংশ,258,√21 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,4.6,4.5,4.4,4.7,A,"√21 ≈ 4.582, তাই ১ দশমিক পর্যন্ত আসন্ন মান 4.6।",3,,
অসীম দশমিক ভগ্নাংশ,259,√22 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,4.69,4.7,4.68,4.67,A,"√22 ≈ 4.690, তাই ২ দশমিক পর্যন্ত আসন্ন মান 4.69।",4,,
অসীম দশমিক ভগ্নাংশ,260,√23 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,4.79,4.78,4.77,4.8,A,"√23 ≈ 4.795, তাই ২ দশমিক পর্যন্ত আসন্ন মান 4.79।",4,,
অসীম দশমিক ভগ্নাংশ,261,√24 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,4.9,4.8,4.7,5.0,A,"√24 ≈ 4.898, তাই ১ দশমিক পর্যন্ত আসন্ন মান 4.9।",4,,
অসীম দশমিক ভগ্নাংশ,262,√25 এর আসন্ন মান কত?,5.0,4.0,6.0,3.0,A,"√25 = 5, আসন্ন মান ৫।",4,,
অসীম দশমিক ভগ্নাংশ,263,√26 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,5.09,5.1,5.11,5.12,B,"√26 ≈ 5.099, তাই ২ দশমিক পর্যন্ত আসন্ন মান 5.09।",4,,
অসীম দশমিক ভগ্নাংশ,264,√27 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,5.18,5.19,5.17,5.2,B,"√27 ≈ 5.196, তাই ২ দশমিক পর্যন্ত আসন্ন মান 5.19।",4,,
অসীম দশমিক ভগ্নাংশ,265,√28 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,5.2,5.3,5.1,5.4,B,"√28 ≈ 5.291, তাই ১ দশমিক পর্যন্ত আসন্ন মান 5.3।",5,,
অসীম দশমিক ভগ্নাংশ,266,√29 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,5.39,5.38,5.37,5.4,B,"√29 ≈ 5.385, তাই ২ দশমিক পর্যন্ত আসন্ন মান 5.38।",5,,
অসীম দশমিক ভগ্নাংশ,267,√30 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,5.46,5.47,5.45,5.48,B,"√30 ≈ 5.477, তাই ২ দশমিক পর্যন্ত আসন্ন মান 5.47।",5,,
অসীম দশমিক ভগ্নাংশ,268,√31 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,5.5,5.6,5.4,5.7,B,"√31 ≈ 5.567, তাই ১ দশমিক পর্যন্ত আসন্ন মান 5.6।",5,,
অসীম দশমিক ভগ্নাংশ,269,√32 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,5.64,5.65,5.63,5.66,B,"√32 ≈ 5.656, তাই ২ দশমিক পর্যন্ত আসন্ন মান 5.65।",5,,
অসীম দশমিক ভগ্নাংশ,270,√33 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,5.73,5.74,5.72,5.75,B,"√33 ≈ 5.744, তাই ২ দশমিক পর্যন্ত আসন্ন মান 5.74।",5,,
অসীম দশমিক ভগ্নাংশ,271,√34 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,5.82,5.83,5.81,5.84,B,"√34 ≈ 5.830, তাই ২ দশমিক পর্যন্ত আসন্ন মান 5.83।",6,,
অসীম দশমিক ভগ্নাংশ,272,√35 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,5.8,5.9,5.7,6.0,B,"√35 ≈ 5.916, তাই ১ দশমিক পর্যন্ত আসন্ন মান 5.9।",6,,
অসীম দশমিক ভগ্নাংশ,273,√36 এর আসন্ন মান কত?,5.0,6.0,7.0,4.0,B,"√36 = 6, আসন্ন মান ৬।",6,,
অসীম দশমিক ভগ্নাংশ,274,√37 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,6.07,6.08,6.06,6.09,B,"√37 ≈ 6.082, তাই ২ দশমিক পর্যন্ত আসন্ন মান 6.08।",6,,
অসীম দশমিক ভগ্নাংশ,275,√38 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,6.15,6.16,6.14,6.17,B,"√38 ≈ 6.164, তাই ২ দশমিক পর্যন্ত আসন্ন মান 6.16।",6,,
অসীম দশমিক ভগ্নাংশ,276,√39 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,6.3,6.2,6.1,6.4,B,"√39 ≈ 6.245, তাই ১ দশমিক পর্যন্ত আসন্ন মান 6.2।",6,,
অসীম দশমিক ভগ্নাংশ,277,√40 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,6.31,6.32,6.3,6.33,B,"√40 ≈ 6.324, তাই ২ দশমিক পর্যন্ত আসন্ন মান 6.32।",7,,
অসীম দশমিক ভগ্নাংশ,278,√41 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,6.39,6.4,6.38,6.41,B,"√41 ≈ 6.403, তাই ২ দশমিক পর্যন্ত আসন্ন মান 6.40।",7,,
অসীম দশমিক ভগ্নাংশ,279,√42 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,6.4,6.5,6.3,6.6,B,"√42 ≈ 6.480, তাই ১ দশমিক পর্যন্ত আসন্ন মান 6.5।",7,,
অসীম দশমিক ভগ্নাংশ,280,√43 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,6.54,6.55,6.53,6.56,B,"√43 ≈ 6.557, তাই ২ দশমিক পর্যন্ত আসন্ন মান 6.55।",7,,
অসীম দশমিক ভগ্নাংশ,281,√44 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,6.62,6.63,6.61,6.64,B,"√44 ≈ 6.633, তাই ২ দশমিক পর্যন্ত আসন্ন মান 6.63।",7,,
অসীম দশমিক ভগ্নাংশ,282,√45 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,6.6,6.7,6.5,6.8,B,"√45 ≈ 6.708, তাই ১ দশমিক পর্যন্ত আসন্ন মান 6.7।",7,,
অসীম দশমিক ভগ্নাংশ,283,√46 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,6.78,6.77,6.76,6.79,A,"√46 ≈ 6.782, তাই ২ দশমিক পর্যন্ত আসন্ন মান 6.78।",8,,
অসীম দশমিক ভগ্নাংশ,284,√47 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,6.85,6.84,6.83,6.86,A,"√47 ≈ 6.855, তাই ২ দশমিক পর্যন্ত আসন্ন মান 6.85।",8,,
অসীম দশমিক ভগ্নাংশ,285,√48 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,6.9,6.8,6.7,7.0,A,"√48 ≈ 6.928, তাই ১ দশমিক পর্যন্ত আসন্ন মান 6.9।",8,,
অসীম দশমিক ভগ্নাংশ,286,√49 এর আসন্ন মান কত?,7.0,6.0,8.0,5.0,A,"√49 = 7, আসন্ন মান ৭।",8,,
অসীম দশমিক ভগ্নাংশ,287,√50 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,7.07,7.06,7.05,7.08,A,"√50 ≈ 7.071, তাই ২ দশমিক পর্যন্ত আসন্ন মান 7.07।",8,,
অসীম দশমিক ভগ্নাংশ,288,√51 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,7.14,7.13,7.12,7.15,A,"√51 ≈ 7.141, তাই ২ দশমিক পর্যন্ত আসন্ন মান 7.14।",8,,
অসীম দশমিক ভগ্নাংশ,289,√52 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,7.21,7.2,7.19,7.22,A,"√52 ≈ 7.211, তাই ২ দশমিক পর্যন্ত আসন্ন মান 7.21।",9,,
অসীম দশমিক ভগ্নাংশ,290,√53 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,7.28,7.29,7.26,7.27,D,"√53 ≈ 7.280, তাই ২ দশমিক পর্যন্ত আসন্ন মান 7.28।",9,,
অসীম দশমিক ভগ্নাংশ,291,√54 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,7.3,7.5,7.2,7.4,D,"√54 ≈ 7.348, তাই ১ দশমিক পর্যন্ত আসন্ন মান 7.3।",9,,
অসীম দশমিক ভগ্নাংশ,292,√55 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,7.41,7.42,7.39,7.4,D,"√55 ≈ 7.416, তাই ২ দশমিক পর্যন্ত আসন্ন মান 7.41।",9,,
অসীম দশমিক ভগ্নাংশ,293,√56 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,7.48,7.49,7.46,7.47,D,"√56 ≈ 7.483, তাই ২ দশমিক পর্যন্ত আসন্ন মান 7.48।",9,,
অসীম দশমিক ভগ্নাংশ,294,√57 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,7.5,7.3,7.4,7.6,D,"√57 ≈ 7.550, তাই ১ দশমিক পর্যন্ত আসন্ন মান 7.5।",9,,
অসীম দশমিক ভগ্নাংশ,295,√58 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,7.62,7.63,7.6,7.61,D,"√58 ≈ 7.615, তাই ২ দশমিক পর্যন্ত আসন্ন মান 7.62।",10,,
অসীম দশমিক ভগ্নাংশ,296,√59 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,7.68,7.69,7.66,7.67,D,"√59 ≈ 7.681, তাই ২ দশমিক পর্যন্ত আসন্ন মান 7.68।",10,,
অসীম দশমিক ভগ্নাংশ,297,√60 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,7.7,7.5,7.6,7.8,D,"√60 ≈ 7.746, তাই ১ দশমিক পর্যন্ত আসন্ন মান 7.7।",10,,
অসীম দশমিক ভগ্নাংশ,298,√61 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,7.81,7.82,7.79,7.8,D,"√61 ≈ 7.810, তাই ২ দশমিক পর্যন্ত আসন্ন মান 7.81।",10,,
অসীম দশমিক ভগ্নাংশ,299,\( \sqrt{50} \) এর আসন্ন মান ২ দশমিক স্থান পর্যন্ত নির্ণয় কর।,7.07,7.05,7.06,7.08,D,"\( \sqrt{৫০} \approx ৭.০৭১ \), তাই ২ দশমিক পর্যন্ত আনুমানিক মান ৭.০৭।",10,,
অসীম দশমিক ভগ্নাংশ,300,\( \pi \) এর মানকে ৪ দশমিক স্থান পর্যন্ত আনুমানিক করো এবং ব্যাসার্ধ ৭ সেমি হলে বৃত্তের ক্ষেত্রফল নির্ণয় কর।,153.94,154.15,153.85,154.0,D,"\( \pi \approx ৩.১৪১৬ \), ক্ষেত্রফল = \( \pi r^২ = ৩.১৪১৬ \times ৭^২ = ১৫৩.৯৩৮৪ \approx ১৫৩.৯৪ \)।",10,,
